"Timestamp","This online survey company is hosted by a web survey company located in the USA and as such is subject to U.S. laws, in particular, the US Patriot Act which allows authorities access to the records of internet service providers. If you choose to participate in the survey, you understand that your responses to the survey questions will be stored and accessed in the USA. The security and privacy policy for the web survey company can be found at the following link : https://policies.google.com/privacy","What is your academic background?","How many years of coding experience do you have prior to using Python/R?","Do you enjoy/love coding?","Which programming language did you learn first?","Which of the following programming languages do you prefer more?","What is your favorite data science task?","How many programming languages do you use actively?"
"2018/04/09 2:30:02 pm GMT-6","I agree","Business ","Less than 1","Yes","SAS","Python","Data visualization","3"
"2018/04/09 2:30:05 pm GMT-6","I agree","Electrical Engineering","Less than 1","Yes","C","Python","Machine Learning","3"
"2018/04/09 2:45:19 pm GMT-6","I agree","Geography","Less than 1","Indifferent","R","R","Data visualization","2"
"2018/04/09 2:53:19 pm GMT-6","I agree","Mathematics / Statistics","1 to 5","Indifferent","Java","Python","Machine Learning","2"
"2018/04/09 3:05:15 pm GMT-6","I agree","Mathematics / Statistics","Less than 1","Indifferent","Pascal","R","Data wrangling","2"
"2018/04/09 3:05:50 pm GMT-6","I agree","Engineering","1 to 5","Yes","Java","R","Data visualization","2"
"2018/04/09 3:07:03 pm GMT-6","I agree","Biochemistry","Less than 1","Yes","C","R","Data wrangling","2"
"2018/04/09 3:08:42 pm GMT-6","I agree","Mathematics / Statistics","1 to 5","Yes","Python","Python","Machine Learning","2"
"2018/04/09 3:08:59 pm GMT-6","I agree","Mathematics / Statistics","1 to 5","Indifferent","Python","R","Data visualization","2"
"2018/04/09 3:09:13 pm GMT-6","I agree","Physics","1 to 5","Yes","Python","Python","Machine Learning","3"
"2018/04/09 3:10:37 pm GMT-6","I agree","Business","1 to 5","Yes","Python","Python","Machine Learning","2"
"2018/04/09 3:11:59 pm GMT-6","I agree","Medicine","Less than 1","Yes","Python","Python","Machine Learning","2"
"2018/04/09 3:16:11 pm GMT-6","I agree","geology","1 to 5","Yes","Matlab","R","Data visualization","2"
"2018/04/09 3:16:15 pm GMT-6","I agree","Biology","Less than 1","Indifferent","Matlab","R","Data visualization","2"
"2018/04/09 3:17:18 pm GMT-6","I agree","Neuroscience","More than 5","Yes","Turing","R","Data visualization","3"
"2018/04/09 3:19:39 pm GMT-6","I agree","Biology ","Less than 1","Yes","Python","Python","Data wrangling","2"
"2018/04/09 3:19:51 pm GMT-6","I agree","Business","Less than 1","No","Python","R","Data visualization","2"
"2018/04/09 3:20:13 pm GMT-6","I agree","Business","Less than 1","Yes","Logo","R","Machine Learning","2"
"2018/04/09 3:21:42 pm GMT-6","I agree","engineering + business","1 to 5","Yes","visual basic","Python","Machine Learning","3"
"2018/04/09 3:21:50 pm GMT-6","I agree","Business","Less than 1","No","SAS","R","Data visualization","2"
"2018/04/09 3:21:52 pm GMT-6","I agree","Business","Less than 1","Yes","SAS","R","Data wrangling","2"
"2018/04/09 3:21:56 pm GMT-6","I agree","Mathematics / Statistics","1 to 5","No","C","R","Data visualization","2"
"2018/04/09 3:22:22 pm GMT-6","I agree","Mathematics / Statistics","1 to 5","Indifferent","R","R","Data visualization","3"
"2018/04/09 3:23:27 pm GMT-6","I agree","Mathematics / Statistics","Less than 1","No","Python","Python","Data wrangling","2"
"2018/04/09 3:23:46 pm GMT-6","I agree","Electronics Engineering","Less than 1","Indifferent","C","Python","Machine Learning","3"
"2018/04/09 3:24:04 pm GMT-6","I agree","Physics","1 to 5","Yes","C","Python","Machine Learning","3"
"2018/04/09 3:24:57 pm GMT-6","I agree","Computer Science / Computer Engineering","1 to 5","Yes","C","Python","Machine Learning","2"
"2018/04/09 3:25:00 pm GMT-6","I agree","Mathematics / Statistics","Less than 1","Yes","Java","R","Machine Learning","2"
"2018/04/09 3:25:52 pm GMT-6","I agree","eng","1 to 5","Indifferent","C","Python","Machine Learning","5 or more"
"2018/04/09 3:27:10 pm GMT-6","I agree","Economics","1 to 5","Yes","R","R","Machine Learning","2"
"2018/04/09 3:27:13 pm GMT-6","I agree","Engineering","1 to 5","Indifferent","C","R","Data wrangling","3"
"2018/04/09 3:27:47 pm GMT-6","I agree","Electronics","1 to 5","Yes","C","Python","Machine Learning","2"
"2018/04/09 3:28:01 pm GMT-6","I agree","biophysics","1 to 5","Yes","Matlab","Python","Machine Learning","3"
"2018/04/09 3:29:57 pm GMT-6","I agree","Engineering","1 to 5","Yes","C","Python","Machine Learning","2"
"2018/04/09 3:30:05 pm GMT-6","I agree","Mathematics / Statistics","1 to 5","Indifferent","Python","Python","Data visualization","2"
"2018/04/09 3:30:33 pm GMT-6","I agree","Computer Science / Computer Engineering","1 to 5","Indifferent","Java","R","Data visualization","2"
"2018/04/09 3:30:41 pm GMT-6","I agree","Computer Science / Computer Engineering","Less than 1","Indifferent","Matlab","Python","Data wrangling","4"
"2018/04/09 3:30:43 pm GMT-6","I agree","Computer Science / Computer Engineering","1 to 5","Yes","C","Python","Machine Learning","2"
"2018/04/09 3:30:58 pm GMT-6","I agree","Business","Less than 1","Yes","R","R","Data wrangling","2"
"2018/04/09 3:31:09 pm GMT-6","I agree","Computer Science / Computer Engineering","1 to 5","Yes","Java","R","Data visualization","3"
"2018/04/09 3:33:20 pm GMT-6","I agree","Engineering","Less than 1","Indifferent","Matlab","R","Machine Learning","2"
"2018/04/09 3:34:08 pm GMT-6","I agree","Political Science/Economics/Finance","1 to 5","Yes","Python","Python","Machine Learning","3"
"2018/04/09 3:34:10 pm GMT-6","I agree","Earth Sciences","Less than 1","Yes","R","R","Machine Learning","2"
"2018/04/09 3:34:43 pm GMT-6","I agree","Life Sciences","1 to 5","Yes","R","Python","Data visualization","2"
"2018/04/09 3:40:44 pm GMT-6","I agree","finance","Less than 1","Yes","Python","Python","Machine Learning","2"
"2018/04/09 3:42:08 pm GMT-6","I agree","Computer Science / Computer Engineering","More than 5","Yes","c#","Python","Machine Learning","4"
"2018/04/09 3:42:37 pm GMT-6","I agree","Biochemistry","1 to 5","Yes","Python","Python","Machine Learning","3"
"2018/04/09 3:43:15 pm GMT-6","I agree","economics","Less than 1","Yes","sql","Python","Data wrangling","2"
"2018/04/09 3:43:39 pm GMT-6","I agree","Physics","1 to 5","Yes","Matlab","Python","Machine Learning","3"
